"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5101.33922603833,5.63982468986895,0.119884354439032,47.0438758773742,0,0
"ENSG00000159167",1628.0222913408,5.46090641955995,0.146635407703195,37.2413900919032,1.46050655322646e-303,1.01819214358183e-299
"ENSG00000131016",2297.6481832507,3.73871103007273,0.125167173176998,29.8697408847433,4.86571151212908e-196,2.26142052045386e-192
"ENSG00000150594",1306.82585115291,4.60226344005297,0.161701489097492,28.461478405299,3.51379432713565e-178,1.22482085758131e-174
"ENSG00000158406",5988.79962762322,3.03468079628506,0.11139071880985,27.2435695604535,1.98055533668002e-163,5.52297661186591e-160
"ENSG00000096088",994.065114723108,3.96657414446686,0.145722610356057,27.2200321883816,3.76295414722765e-163,8.74447827913253e-160
"ENSG00000137801",1730.80869179859,4.41662548155981,0.162444026723104,27.1885988709712,8.85939575586216e-163,1.76466507177123e-159
"ENSG00000140459",597.726023793482,6.00104276529966,0.221422806779029,27.1021890319025,9.27847532784513e-162,1.61712226870181e-158
"ENSG00000157219",596.206213697119,6.12586230647223,0.233953456292339,26.1841068884129,4.0318487521446e-151,6.24622968346135e-148
"ENSG00000104419",17243.8765874335,2.92463201428593,0.112375497084422,26.0255312783071,2.54644772005703e-149,3.55051205607552e-146
"ENSG00000143847",827.131971158942,4.14132976926635,0.166927967103217,24.8090828704913,7.15389420855829e-136,9.06788608635711e-133
"ENSG00000172243",694.643348733516,4.03314623008208,0.171463161616395,23.5219401768948,2.43274983509022e-122,2.82665257922192e-119
"ENSG00000131389",822.11658793555,4.01162614985706,0.170939564427637,23.4680962437768,8.6397177563239e-122,9.26642959049416e-119
"ENSG00000146648",6074.77680127959,2.67410370839359,0.114963264118909,23.2605061180909,1.11367524994996e-119,1.10914100071802e-116
"ENSG00000134240",1034.31017464373,-3.32364499748244,0.146090861509427,-22.7505332170827,1.41767334113152e-114,1.31777462635979e-111
"ENSG00000170525",2253.15073238761,2.82293627634244,0.125102584672985,22.5649716488394,9.57349385566928e-113,8.3427015518498e-110
"ENSG00000115414",28666.080358353,2.91179488400377,0.130102338132798,22.3808036488294,6.0543549335639e-111,4.96563946109891e-108
"ENSG00000114268",1385.72812667288,2.84502413365517,0.129421296493699,21.9826582697978,4.22014139568029e-107,3.26896841555391e-104
"ENSG00000166292",437.037797947942,4.71571845413866,0.214719666960036,21.9622101733996,6.61996376129153e-107,4.85800814335199e-104
"ENSG00000125629",1992.61125624491,2.80850735987552,0.129610048076774,21.6689014590282,4.03262069840251e-104,2.81134151989131e-101
"ENSG00000196968",1407.07579356735,2.67950304977716,0.12480074899994,21.4702481455336,2.95436742185514e-102,1.96155928394887e-99
"ENSG00000134333",46122.4706131144,1.94457870016975,0.0955749534633185,20.3461119226814,5.0259321268941e-92,3.18529871114929e-89
"ENSG00000164850",469.101266811363,3.6563765847406,0.182571298929615,20.0271160153722,3.19641202692643e-89,1.93772056049718e-86
"ENSG00000102144",24226.9499658342,2.20881395993199,0.110960279965158,19.9063481150692,3.58515840297283e-88,2.08282765052709e-85
"ENSG00000176171",13703.7989739643,2.0875976523201,0.105331786194505,19.8192561594385,2.03088280880565e-87,1.13266396012708e-84
"ENSG00000131711",12014.8023421253,2.08873356887919,0.106248458331595,19.6589541314602,4.84614717780263e-86,2.59883961923469e-83
