Geneid,Genesymbol,Genetype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000000003,TSPAN6,protein_coding,609,693,374,388,1075,333,348,964
ENSG00000000419,DPM1,protein_coding,4390,4918,4982,5766,3254,1030,1042,2438
ENSG00000000457,SCYL3,protein_coding,764,826,593,654,91,25,31,101
ENSG00000000460,FIRRM,protein_coding,398,512,559,509,444,160,188,471
ENSG00000000938,FGR,protein_coding,2,2,2,1,0,0,0,1
ENSG00000000971,CFH,protein_coding,0,0,3,0,22,5,10,21
ENSG00000001036,FUCA2,protein_coding,222,272,393,547,995,338,337,857
ENSG00000001084,GCLC,protein_coding,1462,1992,1080,1045,937,303,356,1061
ENSG00000001167,NFYA,protein_coding,5775,6288,4589,4954,2267,694,663,1805
ENSG00000001460,STPG1,protein_coding,294,293,439,520,307,120,126,376
ENSG00000001461,NIPAL3,protein_coding,1676,2022,2190,2760,819,257,315,851
ENSG00000001497,LAS1L,protein_coding,2229,2396,2805,3568,404,146,210,574
ENSG00000001561,ENPP4,protein_coding,1363,1558,1256,1356,1740,570,514,1522
ENSG00000001617,SEMA3F,protein_coding,1281,1226,776,1011,275,90,149,381
ENSG00000001626,CFTR,protein_coding,7,2,10,13,0,0,0,2
ENSG00000001629,ANKIB1,protein_coding,2468,2880,2521,2760,1302,414,462,1243
ENSG00000001630,CYP51A1,protein_coding,116,165,171,196,98,29,41,101
ENSG00000001631,KRIT1,protein_coding,500,595,547,601,113,59,38,142
ENSG00000002016,RAD52,protein_coding,481,617,619,723,163,44,70,189
ENSG00000002330,BAD,protein_coding,675,727,557,1234,302,107,161,316
ENSG00000002549,LAP3,protein_coding,2149,2560,3914,4974,774,246,333,947
ENSG00000002586,CD99,protein_coding,9045,10936,7785,10046,4081,1512,1161,3042
ENSG00000002587,HS3ST1,protein_coding,77,93,249,427,58,17,16,42
ENSG00000002726,AOC1,protein_coding,4,4,3,4,1,0,0,0
ENSG00000002746,HECW1,protein_coding,0,3,1,1,17,9,10,45
ENSG00000002822,MAD1L1,protein_coding,1,5,3,2,2,2,3,3
ENSG00000002834,LASP1,protein_coding,4625,5203,4842,5605,7889,2739,2994,7907
ENSG00000002919,SNX11,protein_coding,337,346,364,559,420,142,157,421
ENSG00000003056,M6PR,protein_coding,2508,2822,2679,3153,2891,1091,1345,3174
ENSG00000003096,KLHL13,protein_coding,71,94,123,212,280,87,116,274
ENSG00000003137,CYP26B1,protein_coding,54,88,33,36,660,194,195,484
ENSG00000003147,ICA1,protein_coding,2740,2912,2832,3675,35,20,14,67
ENSG00000003249,DBNDD1,protein_coding,2074,2323,1556,2350,528,146,180,428
ENSG00000003393,ALS2,protein_coding,1934,2141,1734,1853,630,215,241,774
ENSG00000003400,CASP10,protein_coding,46,53,69,76,2,3,4,5
ENSG00000003402,CFLAR,protein_coding,2805,3303,2872,2969,857,281,312,878
ENSG00000003436,TFPI,protein_coding,9255,10438,5006,5244,3067,1006,633,1876
ENSG00000003509,NDUFAF7,protein_coding,865,949,906,1093,374,165,208,535
ENSG00000003756,RBM5,protein_coding,4906,5173,4132,5194,925,280,304,957
ENSG00000003987,MTMR7,protein_coding,0,2,0,0,4,1,0,3
ENSG00000003989,SLC7A2,protein_coding,773,930,591,637,143,33,108,313
ENSG00000004059,ARF5,protein_coding,2959,3412,2509,4162,752,317,367,1004
ENSG00000004139,SARM1,protein_coding,1012,1249,1286,1988,67,30,65,169
ENSG00000004142,POLDIP2,protein_coding,4262,4918,5596,7741,1300,457,669,1592
ENSG00000004399,PLXND1,protein_coding,262,262,85,94,160,69,66,221
ENSG00000004455,AK2,protein_coding,6969,8411,8003,8870,2644,948,883,2390
ENSG00000004468,CD38,protein_coding,1,3,8,7,2,1,0,5
ENSG00000004478,FKBP4,protein_coding,9970,12632,15431,18678,4151,1432,1882,4729
ENSG00000004487,KDM1A,protein_coding,4477,5422,3658,3963,1566,539,626,1657
ENSG00000004534,RBM6,protein_coding,7743,8463,4962,5772,562,175,219,563
ENSG00000004660,CAMKK1,protein_coding,473,645,631,699,100,64,113,228
ENSG00000004700,RECQL,protein_coding,2022,2357,2426,2536,3179,1066,826,2311
ENSG00000004766,VPS50,protein_coding,702,877,1148,1089,1004,325,375,1072
ENSG00000004776,HSPB6,protein_coding,196,209,113,154,11,2,2,17
ENSG00000004777,ARHGAP33,protein_coding,1263,1185,703,937,32,26,27,63
ENSG00000004779,NDUFAB1,protein_coding,2206,2685,2885,4038,858,304,294,837
ENSG00000004799,PDK4,protein_coding,0,0,2,1,50,16,21,65
ENSG00000004809,SLC22A16,protein_coding,7,10,14,12,2,0,1,3
ENSG00000004838,ZMYND10,protein_coding,84,73,78,96,11,1,2,7
ENSG00000004846,ABCB5,protein_coding,9,17,42,45,1,1,0,4
ENSG00000004848,ARX,protein_coding,39,45,47,80,1,1,1,6
ENSG00000004864,SLC25A13,protein_coding,1286,1713,1757,1912,1016,322,419,1088
ENSG00000004866,ST7,protein_coding,7293,7252,4845,6526,639,238,311,768
ENSG00000004897,CDC27,protein_coding,6233,7790,7089,7105,14536,4426,3373,9839
ENSG00000004939,SLC4A1,protein_coding,5,2,6,5,0,0,0,6
